source_file,location_header,animal_types,restriction_type,matched_line,context_snippet
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",büyükbaş,other,"4- Bağlı duraklı ahırlarda, her bir yetişkin büyükbaş hayvan için en az 100- 120 cm genişlik","sayısı buzağı (0-6 aylık yaş), padoklarda yapılıyor ise her bir buzağı için 1,8 m² alan
üzerinden kapasitesi hesaplanır.
4- Bağlı duraklı ahırlarda, her bir yetişkin büyükbaş hayvan için en az 100- 120 cm genişlik
ve 180-240 cm uzunlukta durak alanı olmalıdır.
5- Bağlı duraklı ahırlarda her bir büyükbaş hayvanın beslenme ve dinlenme bölümü belirli"
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",büyükbaş,other,5- Bağlı duraklı ahırlarda her bir büyükbaş hayvanın beslenme ve dinlenme bölümü belirli,"4- Bağlı duraklı ahırlarda, her bir yetişkin büyükbaş hayvan için en az 100- 120 cm genişlik
ve 180-240 cm uzunlukta durak alanı olmalıdır.
5- Bağlı duraklı ahırlarda her bir büyükbaş hayvanın beslenme ve dinlenme bölümü belirli
olduğundan, yukarıda yer alan durak ölçüleri dikkate alınarak bağlama sistem sayısı kadar
yetişkin hayvan kapasitesi hesaplanır."
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",büyükbaş,other,yetişkin hayvan kapasitesi hesaplanır.,"5- Bağlı duraklı ahırlarda her bir büyükbaş hayvanın beslenme ve dinlenme bölümü belirli
olduğundan, yukarıda yer alan durak ölçüleri dikkate alınarak bağlama sistem sayısı kadar
yetişkin hayvan kapasitesi hesaplanır.
6- Büyükbaş kapalı işletmelerde; Genç yaşta hayvanların bağlı olarak bakım ve beslenmesi
yapılıyorsa; 0-6 aylık yaşta olan hayvanlar için 60-80 cm genişlik ve 130-160 cm"
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",büyükbaş,other,6- Büyükbaş kapalı işletmelerde; Genç yaşta hayvanların bağlı olarak bakım ve beslenmesi,"olduğundan, yukarıda yer alan durak ölçüleri dikkate alınarak bağlama sistem sayısı kadar
yetişkin hayvan kapasitesi hesaplanır.
6- Büyükbaş kapalı işletmelerde; Genç yaşta hayvanların bağlı olarak bakım ve beslenmesi
yapılıyorsa; 0-6 aylık yaşta olan hayvanlar için 60-80 cm genişlik ve 130-160 cm
uzunluğuna sahip durak alanı, 7- 12 aylık yaşta olan hayvanlar için 70 -100 cm genişlik"
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",büyükbaş,other,yapılıyorsa; 0-6 aylık yaşta olan hayvanlar için 60-80 cm genişlik ve 130-160 cm,"yetişkin hayvan kapasitesi hesaplanır.
6- Büyükbaş kapalı işletmelerde; Genç yaşta hayvanların bağlı olarak bakım ve beslenmesi
yapılıyorsa; 0-6 aylık yaşta olan hayvanlar için 60-80 cm genişlik ve 130-160 cm
uzunluğuna sahip durak alanı, 7- 12 aylık yaşta olan hayvanlar için 70 -100 cm genişlik
ve 120 -180 cm uzunluğuna sahip durak alanı, 13 aylık yaş ve üzeri hayvanlar için 90-"
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",büyükbaş,other,"uzunluğuna sahip durak alanı, 7- 12 aylık yaşta olan hayvanlar için 70 -100 cm genişlik","6- Büyükbaş kapalı işletmelerde; Genç yaşta hayvanların bağlı olarak bakım ve beslenmesi
yapılıyorsa; 0-6 aylık yaşta olan hayvanlar için 60-80 cm genişlik ve 130-160 cm
uzunluğuna sahip durak alanı, 7- 12 aylık yaşta olan hayvanlar için 70 -100 cm genişlik
ve 120 -180 cm uzunluğuna sahip durak alanı, 13 aylık yaş ve üzeri hayvanlar için 90-
120 cm genişlik ve 145 -240 cm uzunluğuna sahip durak alanı ve birbirine rahatsızlık"
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",general,other,"ve 120 -180 cm uzunluğuna sahip durak alanı, 13 aylık yaş ve üzeri hayvanlar için 90-","yapılıyorsa; 0-6 aylık yaşta olan hayvanlar için 60-80 cm genişlik ve 130-160 cm
uzunluğuna sahip durak alanı, 7- 12 aylık yaşta olan hayvanlar için 70 -100 cm genişlik
ve 120 -180 cm uzunluğuna sahip durak alanı, 13 aylık yaş ve üzeri hayvanlar için 90-
120 cm genişlik ve 145 -240 cm uzunluğuna sahip durak alanı ve birbirine rahatsızlık
vermeyeceği mesafe aralığına dikkat edilerek her bir bağlama sistemi kadar hayvan"
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",büyükbaş,other,vermeyeceği mesafe aralığına dikkat edilerek her bir bağlama sistemi kadar hayvan,"ve 120 -180 cm uzunluğuna sahip durak alanı, 13 aylık yaş ve üzeri hayvanlar için 90-
120 cm genişlik ve 145 -240 cm uzunluğuna sahip durak alanı ve birbirine rahatsızlık
vermeyeceği mesafe aralığına dikkat edilerek her bir bağlama sistemi kadar hayvan
yaşına göre baş kapasite belirlenir.
7- Büyükbaş kapalı işletmelerde; hayvanlar serbest duraklı sistemde bakım ve beslenmesi"
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",büyükbaş,other,7- Büyükbaş kapalı işletmelerde; hayvanlar serbest duraklı sistemde bakım ve beslenmesi,"vermeyeceği mesafe aralığına dikkat edilerek her bir bağlama sistemi kadar hayvan
yaşına göre baş kapasite belirlenir.
7- Büyükbaş kapalı işletmelerde; hayvanlar serbest duraklı sistemde bakım ve beslenmesi
yapılıyorsa; durak alanları, servis yolu, gezinti alanları ve padoklar dikkate alınarak 0-6
aylık yaşta olan hayvanlar için hayvan başına en az 1,8 m², 7-12 aylık yaşta olan"
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",büyükbaş,other,"aylık yaşta olan hayvanlar için hayvan başına en az 1,8 m², 7-12 aylık yaşta olan","7- Büyükbaş kapalı işletmelerde; hayvanlar serbest duraklı sistemde bakım ve beslenmesi
yapılıyorsa; durak alanları, servis yolu, gezinti alanları ve padoklar dikkate alınarak 0-6
aylık yaşta olan hayvanlar için hayvan başına en az 1,8 m², 7-12 aylık yaşta olan
hayvanlar için hayvan başına en az 4 m², 13-18 aylık yaşta olan hayvanlar için hayvan
başına en az 6 m², 19 aylık yaştan büyük olan hayvanlar için hayvan başına en az 7 m²"
kapasite.txt,"Büyükbaş ve küçükbaş hayvancılık işletmeleri için Kapasite Raporu, aşağıda belirtilen | hükümlere göre düzenlenir. | A) GENEL HÜKÜMLER | 1- Büyükbaş ve küçükbaş hayvancılık işletmelerine, uygulama birlikteliğinin sağlanması | amacıyla kapasite raporu düzenlenmesinde il/ilçe tarım ve orman müdürlüklerinde bu | talimat hükümleri uygulanır.",general,other,"hayvanlar için hayvan başına en az 4 m², 13-18 aylık yaşta olan hayvanlar için hayvan","yapılıyorsa; durak alanları, servis yolu, gezinti alanları ve padoklar dikkate alınarak 0-6
aylık yaşta olan hayvanlar için hayvan başına en az 1,8 m², 7-12 aylık yaşta olan
hayvanlar için hayvan başına en az 4 m², 13-18 aylık yaşta olan hayvanlar için hayvan
başına en az 6 m², 19 aylık yaştan büyük olan hayvanlar için hayvan başına en az 7 m²
alan hesaplanmalıdır."
