il,ilce,mahalle,lat,lon
ADANA,KARATAŞ,MELETMEZ,36.7124805,35.2210624
ADANA,KARATAŞ,ORTA,36.5626014,35.380576
ADANA,KARATAŞ,OYMAKLI,36.725212,35.353333
ADANA,KARATAŞ,SİRKENLİ,36.727657,35.400623
ADANA,KARATAŞ,TABAKLAR,36.747913,35.002163
ADANA,KARATAŞ,TERLİKSİZ,36.6903,35.335094
ADANA,KARATAŞ,TOPRAKLI,36.6717447,35.3228606
ADANA,KARATAŞ,TUZKUYUSU,36.73312,35.093121
ADANA,KARATAŞ,TUZLA,36.6992446,35.0883037
ADANA,KARATAŞ,YASSIVEREN,36.733147,35.208076
ADANA,KARATAŞ,YEMİŞLİ,36.6543593,35.3592713
ADANA,KARATAŞ,YENİ,36.5641647,35.3856488
ADANA,KARATAŞ,YENİMURAT,36.780613,35.077633
ADANA,KARATAŞ,YÜZBAŞI,36.723972,35.336857
ADANA,KARATAŞ,ÇAKIRÖREN,36.608242,35.369499
ADANA,KARATAŞ,ÇAVUŞLU,36.717415,35.180374
ADANA,KARATAŞ,ÇAĞŞIRLI,36.743702,35.418014
ADANA,KARATAŞ,ÇUKURKAMIŞ,36.6800493,35.3555376
ADANA,KARATAŞ,ÇİMELİ,36.69833,35.343601
ADANA,KARATAŞ,İNNEPLİHÜYÜĞÜ,36.671341,35.155651
ADANA,KARATAŞ,İSAHACILI,36.687134,35.289543
ADANA,KARAİSALI,AKTAŞ,37.2632937,35.0704793
ADANA,KARAİSALI,AKÇALI,37.193058,35.174107
ADANA,KARAİSALI,ALTINOVA,37.181038,35.030391
ADANA,KARAİSALI,AYAKKIF,37.218052,35.127281
ADANA,KARAİSALI,AŞAĞIBELEMEDİK,37.265396,35.027062
ADANA,KARAİSALI,AŞAĞIYÖRÜKLER,37.2789871,35.0648146
ADANA,KARAİSALI,BARAKDAĞI,37.4020965,35.1947406
ADANA,KARAİSALI,BAŞKIF,37.2622966,35.1048653
ADANA,KARAİSALI,BEKİRLİ,37.238953,35.201588
ADANA,KARAİSALI,BEYDEMİR,37.273853,35.141121
ADANA,KARAİSALI,BOLACALI,37.224365,34.98592
ADANA,KARAİSALI,BUCAK,37.1934936,34.9415454
ADANA,KARAİSALI,DEMİRÇİT,37.210842,34.976612
ADANA,KARAİSALI,DURAK,37.1542788,34.9761458
ADANA,KARAİSALI,DÖŞEKEVİ,37.267616,35.387631
ADANA,KARAİSALI,EMELCİK,37.2212443,35.1672956
ADANA,KARAİSALI,ETEKLİ,37.430359,35.245308
ADANA,KARAİSALI,EĞLENCE,37.2867008,35.2183022
ADANA,KARAİSALI,FETTAHLI,37.2661267,35.324398
ADANA,KARAİSALI,FİLİKLİ,37.3662674,35.2959546
ADANA,KARAİSALI,GÖKHASANLI,37.255295,35.164619
ADANA,KARAİSALI,GÜLÜŞLÜ,37.277763,35.018288
ADANA,KARAİSALI,GÜVENÇ,37.227608,35.087479
ADANA,KARAİSALI,GİLDİRLİ,37.3604818,35.0531374
ADANA,KARAİSALI,HACIKIRI,37.2514995,34.9798027
ADANA,KARAİSALI,HACILI,37.296604,35.154674
ADANA,KARAİSALI,HACIMUSALI,37.310761,35.276928
ADANA,KARAİSALI,KALEDAĞI,37.4195615,35.2863792
ADANA,KARAİSALI,KAPIKAYA,37.2337349,35.0231735
ADANA,KARAİSALI,KARAHASANLI,37.3141181,35.1406268
ADANA,KARAİSALI,KARAKILIÇ,37.308428,34.989354
ADANA,KARAİSALI,KARAKUYU,37.1432332,35.1384443
ADANA,KARAİSALI,KIRIKLI,37.1766983,35.2348494
ADANA,KARAİSALI,KOCAVELİLER,37.170197,35.03614
ADANA,KARAİSALI,KUYUCU,37.2034234,35.1066505
ADANA,KARAİSALI,KUZGUN,37.14349,35.093544
ADANA,KARAİSALI,KUŞCUSOFULU,37.3790521,35.3380994
ADANA,KARAİSALI,KÖRÜKLÜ,37.243133,35.234459
ADANA,KARAİSALI,MARAŞLI,37.301498,35.089191
ADANA,KARAİSALI,MURTÇUKURU,37.17001,34.969765
ADANA,KARAİSALI,NERGİZLİK,37.3068389,35.0414112
ADANA,KARAİSALI,NUHLU,37.333069,35.326946
ADANA,KARAİSALI,SADIKALİ,37.1917,35.247429
ADANA,KARAİSALI,SARIMEHMETLİ,37.2407369,35.2792631
ADANA,KARAİSALI,SAYPINAR,37.2708491,35.055297
ADANA,KARAİSALI,SELAMPINAR,37.2569048,35.0571333
ADANA,KARAİSALI,TATIK,37.2585472,35.3992689
ADANA,KARAİSALI,TOPAKTAŞ,37.165569,35.1755366
ADANA,KARAİSALI,TOPKARALI,37.203438,35.220474
ADANA,KARAİSALI,TORUNSOLAKLI,37.3037724,35.2253913
ADANA,KARAİSALI,TÜMENLİ,37.371948,35.367626
ADANA,KARAİSALI,YAZIBAŞI,37.183723,35.191395
ADANA,KARAİSALI,ÇAKALLI,37.192467,35.110447
ADANA,KARAİSALI,ÇATALAN,37.2494962,35.2935107
ADANA,KARAİSALI,ÇECELİ,37.2518458,35.0618999
ADANA,KARAİSALI,ÇEVLİK,37.3671458,35.0661734
ADANA,KARAİSALI,ÇOCUKLAR,37.239174,35.184444
ADANA,KARAİSALI,ÇORLU,37.3183418,35.1702594
ADANA,KARAİSALI,ÇUKUR,37.3567668,35.0948434
ADANA,KARAİSALI,ÖMERLİ,37.283901,35.329445
ADANA,KOZAN,ACARMANTAŞ,37.4752139,35.9155311
ADANA,KOZAN,AKARCA,37.5677045,35.6362279
ADANA,KOZAN,AKDAM,37.550785,35.617435
ADANA,KOZAN,AKÇALIUŞAĞI,37.6771447,36.0251305
ADANA,KOZAN,ALAPINAR,37.342609,35.8496547
ADANA,KOZAN,ANDIL,37.5377211,35.794551
ADANA,KOZAN,ARSLANLI,37.311871,35.7703047
ADANA,KOZAN,ARSLANPAŞA,37.4459481,35.8195545
ADANA,KOZAN,AYDIN,37.4099223,35.5963346
ADANA,KOZAN,AYŞEHOCA,37.26376,35.8516061
ADANA,KOZAN,AĞLIBOĞAZ,37.473585,35.8348997
ADANA,KOZAN,BAĞLAR,37.4549117,35.8399848
ADANA,KOZAN,BAĞTEPE,37.4444436,35.6394842
ADANA,KOZAN,BAĞÖZÜ,37.5322288,35.7341051
ADANA,KOZAN,BOZTAHTA,37.646787,36.0052793
ADANA,KOZAN,BUCAK,37.449989,35.9147799
ADANA,KOZAN,BULDUKLU,37.388248,35.8890677
ADANA,KOZAN,CUMHURİYET,37.4516641,35.8125934
ADANA,KOZAN,DAMYERİ,37.383133,35.632282
ADANA,KOZAN,DOĞANALANI,37.4782693,35.5163254
ADANA,KOZAN,DURALUŞAĞI,37.486961,35.7493967
ADANA,KOZAN,DURMUŞLU,37.506077,35.8374477
ADANA,KOZAN,DÜZAĞAÇ,37.579641,35.8265016
ADANA,KOZAN,DİKİLİTAŞ,37.3625898,35.7146315
ADANA,KOZAN,DİLEKKAYA,37.251301,35.8951107
ADANA,KOZAN,ENİZÇAKIRI,37.522951,35.5708158
ADANA,KOZAN,ERGENUŞAĞI,37.634196,35.5945313
ADANA,KOZAN,ESKİKABASAKAL,37.436104,35.8556167
ADANA,KOZAN,ESKİMANTAŞ,37.536938,35.9110217
ADANA,KOZAN,FAYDALI,37.3432559,35.8900266
ADANA,KOZAN,FERHATLI,37.497871,35.8798817
ADANA,KOZAN,GAZİ,37.2954495,35.8524506
ADANA,KOZAN,GEDİKLİ,37.5113682,35.8730803
ADANA,KOZAN,GÖKÇEYOL,37.2954873,35.8205926
ADANA,KOZAN,GÖRBEYAZ,37.772717,35.66893
ADANA,KOZAN,GÜNERİ,37.4540585,35.7723413
ADANA,KOZAN,HACIBEYLİ,37.312764,35.8787922
ADANA,KOZAN,HACIMİRZALI,37.470631,35.8115713
ADANA,KOZAN,HACIUŞAĞI,37.4452824,35.8167593
ADANA,KOZAN,ILICA,37.476437,35.9006037
ADANA,KOZAN,IŞIKKAYA,37.6831234,35.5489762
ADANA,KOZAN,IŞIKLI,37.3719819,35.7916975
ADANA,KOZAN,KABAKTEPE,37.6227721,35.790571
ADANA,KOZAN,KAHVELİ,37.472399,35.7746176
ADANA,KOZAN,KALKUMAÇ,37.7072113,35.6680237
ADANA,KOZAN,KAPIKAYA,37.7782072,35.6265834
ADANA,KOZAN,KARABUCAK,37.6283435,35.8876318
ADANA,KOZAN,KARACAOĞLAN,37.4662329,35.8209277
ADANA,KOZAN,KARACAÖREN,37.4344654,35.7117173
ADANA,KOZAN,KARAHAMZALI,37.5668785,35.953027
ADANA,KOZAN,KARANEBİLİ,37.606514,35.7331687
ADANA,KOZAN,KIBRISLAR,37.6471709,35.7076166
ADANA,KOZAN,KIZILLAR,37.5172265,35.7077855
ADANA,KOZAN,KIZLARSEKİSİ,37.622677,35.631393
ADANA,KOZAN,KUYTUCAK,37.5881943,35.7101647
ADANA,KOZAN,KUYUBELİ,37.6811583,35.9798973
ADANA,KOZAN,KUYULUK,37.383556,35.8646457
ADANA,KOZAN,KÖSELİ,37.5195954,35.7594027
ADANA,KOZAN,MAHMUTLU,37.443797,35.8184246
ADANA,KOZAN,MAHYALAR,37.664486,35.9272147
ADANA,KOZAN,MARANKEÇİLİ,37.680092,35.634876
ADANA,KOZAN,MİNNETLİ,37.6100975,35.9306753
ADANA,KOZAN,ORUÇLU,37.5012373,35.7710837
ADANA,KOZAN,ORÇAN,37.566315,35.8589887
ADANA,KOZAN,PEKMEZCİ,37.3566414,35.8584701
ADANA,KOZAN,POSTKABASAKAL,37.487083,35.667705
ADANA,KOZAN,TAVŞANTEPE,37.4427539,35.8265
ADANA,KOZAN,TAŞ,37.444743,35.8148278
ADANA,KOZAN,TEPECİKÖREN,37.3633186,35.6278339
ADANA,KOZAN,TUFANLI,37.400676,35.7688236
ADANA,KOZAN,TUFANPAŞA,37.4514081,35.8157539
ADANA,KOZAN,TURGUTLU,37.505882,35.8032527
ADANA,KOZAN,TURUNÇLU,37.439136,35.7325914
ADANA,KOZAN,TÜRKELİ,37.4637157,35.8281323
ADANA,KOZAN,VARSAKLAR,37.4474899,35.7925326
ADANA,KOZAN,VELİCANLI,37.664375,35.680542
ADANA,KOZAN,YALAR,37.664486,35.9272147
ADANA,KOZAN,YANALERİK,37.6742532,35.7734281
ADANA,KOZAN,YARIMOĞLU,37.4429421,35.8149488
ADANA,KOZAN,YASSIÇALI,37.3589428,35.8300701
ADANA,KOZAN,YENİKÖY,37.4837318,35.7183665
ADANA,KOZAN,YUKARIKEÇİLİ,37.7942368,35.639788
ADANA,KOZAN,YÜKSEKÖREN,37.4251624,35.6978091
ADANA,KOZAN,ZERDALİ,37.4348736,35.6219649
ADANA,KOZAN,ÇAMDERE,37.6508191,35.8304846
ADANA,KOZAN,ÇAMLARCA,37.6274576,35.9737167
ADANA,KOZAN,ÇANAKLI,37.4541032,35.7939878
ADANA,KOZAN,ÇANDIK,37.4664914,35.7362706
ADANA,KOZAN,ÇELENUŞAĞI,37.6944642,35.7387909
ADANA,KOZAN,ÇOBANPINARI,37.431362,35.8921047
ADANA,KOZAN,ÇOKAK,37.3376607,35.8871073
ADANA,KOZAN,ÇUKURÖREN,37.363117,35.7758667
ADANA,KOZAN,ÇULLUUŞAĞI,37.683117,35.8765557
ADANA,KOZAN,ÇÜRÜKLÜ,37.647717,35.9425917
